"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30038","Debug Header HTML","mobile_chrome","2026-09-09","broken","2026-09-09","","debug-header.spec.ts","",""
"","5470","Homepage has Mega Menu","chromium","2026-09-09","failed","2026-09-09","","homepage.spec.ts","",""
"","374","Login with valid credentials","mobile_safari","2026-09-09","skipped","2026-09-09","","login.spec.ts","",""
"","6516","Homepage has Mega Menu","firefox","2026-09-09","failed","2026-09-09","","homepage.spec.ts","",""
"","402","Homepage has Search Bar","mobile_safari","2026-09-09","skipped","2026-09-09","","homepage.spec.ts","",""
"","5555","Homepage has Search Bar","chromium","2026-09-09","failed","2026-09-09","","homepage.spec.ts","",""
"","30039","Logout flow","firefox","2026-09-09","broken","2026-09-09","","logout.spec.ts","",""
"","30038","Debug Header HTML","mobile_safari","2026-09-09","broken","2026-09-09","","debug-header.spec.ts","",""
"","30048","Login with valid credentials","firefox","2026-09-09","broken","2026-09-09","","login.spec.ts","",""
"","10511","PDP Cart Flow: Add specific product, verify Mini Cart and Checkout","chromium","2026-09-09","failed","2026-09-09","","cart.spec.ts","",""
"","11593","PDP Cart Flow: Add specific product, verify Mini Cart and Checkout","firefox","2026-09-09","failed","2026-09-09","","cart.spec.ts","",""
"","30047","Debug Mobile Account Page","firefox","2026-09-09","broken","2026-09-09","","debug-mobile.spec.ts","",""
"","313","Logout flow","mobile_safari","2026-09-09","skipped","2026-09-09","","logout.spec.ts","",""
"","4021","PDP Cart Flow: Add specific product, verify Mini Cart and Checkout","mobile_safari","2026-09-09","skipped","2026-09-09","","cart.spec.ts","",""
"","1439","Debug Mobile Homepage & Cart (Guest)","mobile_safari","2026-09-09","passed","2026-09-09","","debug-homepage-mobile.spec.ts","",""
"","776","Debug Mobile Homepage & Cart (Guest)","chromium","2026-09-09","passed","2026-09-09","","debug-homepage-mobile.spec.ts","",""
"","30039","Logout flow","mobile_chrome","2026-09-09","broken","2026-09-09","","logout.spec.ts","",""
"","30031","Debug Mobile Account Page","mobile_safari","2026-09-09","broken","2026-09-09","","debug-mobile.spec.ts","",""
"","30084","Logout flow","chromium","2026-09-09","broken","2026-09-09","","logout.spec.ts","",""
"","10458","PDP Cart Flow: Add specific product, verify Mini Cart and Checkout","mobile_chrome","2026-09-09","failed","2026-09-09","","cart.spec.ts","",""
"","1131","Debug Mobile Homepage & Cart (Guest)","mobile_chrome","2026-09-09","passed","2026-09-09","","debug-homepage-mobile.spec.ts","",""
"","2062","Debug Mobile Homepage & Cart (Guest)","firefox","2026-09-09","passed","2026-09-09","","debug-homepage-mobile.spec.ts","",""
"","6135","Homepage has Mega Menu","mobile_safari","2026-09-09","failed","2026-09-09","","homepage.spec.ts","",""
"","30042","Debug Header HTML","chromium","2026-09-09","broken","2026-09-09","","debug-header.spec.ts","",""
"","30052","Login with valid credentials","mobile_chrome","2026-09-09","broken","2026-09-09","","login.spec.ts","",""
"","30045","Debug Header HTML","firefox","2026-09-09","broken","2026-09-09","","debug-header.spec.ts","",""
"","30038","Debug Mobile Account Page","mobile_chrome","2026-09-09","broken","2026-09-09","","debug-mobile.spec.ts","",""
"","30040","Login with valid credentials","chromium","2026-09-09","broken","2026-09-09","","login.spec.ts","",""
"","6736","Homepage has Search Bar","firefox","2026-09-09","failed","2026-09-09","","homepage.spec.ts","",""
"","5922","Homepage has Search Bar","mobile_chrome","2026-09-09","failed","2026-09-09","","homepage.spec.ts","",""
"","5896","Homepage has Mega Menu","mobile_chrome","2026-09-09","failed","2026-09-09","","homepage.spec.ts","",""
"","30044","Debug Mobile Account Page","chromium","2026-09-09","broken","2026-09-09","","debug-mobile.spec.ts","",""
